상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,합
20585779,스타벅스,동숭로아트점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111064000,이화동,1111016800,동숭동,1.11E+18,1,대지,30,,서울특별시 종로구 동숭동 30,1.11E+11,서울특별시 종로구 동숭길,110,,1.11E+24,,서울특별시 종로구 동숭길 110,110809,3085,,3,,127.003887,37.58296442,30
20015708,스타벅스남부터미널2점,남부터미널2점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165053000,서초3동,1165010800,서초동,1.17E+18,1,대지,1457,1,서울특별시 서초구 서초동 1457-1,1.17E+11,서울특별시 서초구 효령로,274,,1.17E+24,,서울특별시 서초구 효령로 274,137070,6716,,1,,127.0141978,37.48438612,42
22934175,스타벅스,가로수길점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168051000,신사동,1168010700,신사동,1.17E+18,1,대지,529,10,서울특별시 강남구 신사동 529-10,1.17E+11,서울특별시 강남구 논현로175길,94,,1.17E+24,,서울특별시 강남구 논현로175길 94,135888,6028,,2,,127.0216293,37.52318421,79
28520216,스타벅스미아사거리역점,미아사거리역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11305,강북구,1130554500,송중동,1130510100,미아동,1.13E+18,1,대지,35,30,서울특별시 강북구 미아동 35-30,1.13E+11,서울특별시 강북구 도봉로,32,,1.13E+24,동주빌딩,서울특별시 강북구 도봉로 32,142804,1220,,1,,127.0306855,37.61184062,5
23320126,스타벅스,당산점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156056000,당산2동,1156011600,당산동6가,1.16E+18,1,대지,338,1,서울특별시 영등포구 당산동6가 338-1,1.16E+11,서울특별시 영등포구 양평로,64,,1.16E+24,한경빌딩,서울특별시 영등포구 양평로 64,150810,7222,,1,,126.899952,37.53513359,26
23375653,스타벅스중랑구청점,중랑구청점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11260,중랑구,1126068000,신내1동,1126010600,신내동,1.13E+18,1,대지,563,3,서울특별시 중랑구 신내동 563-3,1.13E+11,서울특별시 중랑구 신내로,72,,1.13E+24,원빌딩,서울특별시 중랑구 신내로 72,131130,2069,,1,,127.0956531,37.60540032,7
23456329,스타벅스,문래역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156060500,문래동,1156012100,문래동3가,1.16E+18,1,대지,55,5,서울특별시 영등포구 문래동3가 55-5,1.16E+11,서울특별시 영등포구 당산로,34,,1.16E+24,로데오샵쇼핑몰,서울특별시 영등포구 당산로 34,150835,7297,,1,,126.8964787,37.51744978,26
23455005,스타벅스,서강대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144060000,대흥동,1144011100,신수동,1.14E+18,1,대지,63,14,서울특별시 마포구 신수동 63-14,1.14E+11,서울특별시 마포구 백범로,23,,1.14E+24,거구장,서울특별시 마포구 백범로 23,121854,4108,,1,,126.9375433,37.55242638,29
16095836,스타벅스,봉은사로선정릉점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168059000,삼성2동,1168010500,삼성동,1.17E+18,1,대지,114,9,서울특별시 강남구 삼성동 114-9,1.17E+11,서울특별시 강남구 봉은사로,446,,1.17E+24,올림푸스타워,서울특별시 강남구 봉은사로 446,135509,6153,A,,,127.048501,37.51135667,79
16129812,스타벅스,방배다이치빌딩점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11650,서초구,1165060000,방배1동,1165010100,방배동,1.17E+18,1,대지,907,1,서울특별시 서초구 방배동 907-1,1.17E+11,서울특별시 서초구 방배로,114,,1.17E+24,다이치빌딩,서울특별시 서초구 방배로 114,137842,6665,,,,126.9960731,37.48433262,42
