분류,K,경도,위도,id
LPG,4,126.8473231,37.530167,1
LPG,4,127.043997,37.628235,2
LPG,4,127.0836974,37.5346254,3
LPG,4,126.9821327,37.4790732,4
LPG,13,127.044922,37.548789,5
LPG,13,127.0168312,37.5894385,6
LPG,13,127.041361,37.6605696,7
LPG,13,127.0587319,37.5629291,8
LPG,13,126.9002813,37.5788412,9
LPG,13,126.9953379,37.4732032,10
LPG,13,127.0869831,37.5036277,11
LPG,13,127.0725159,37.6169744,12
LPG,13,126.8473231,37.530167,13
LPG,13,126.9343062,37.4735606,14
LPG,13,127.0793084,37.5796075,15
LPG,13,126.8015717,37.5752764,16
LPG,13,127.1465229,37.5251936,17
LPG,28,127.044922,37.548789,18
LPG,28,127.0168312,37.5894385,19
LPG,28,127.0412907,37.5910724,20
LPG,28,127.0587319,37.5629291,21
LPG,28,126.9646482,37.5637544,22
LPG,28,127.0118298,37.5188993,23
LPG,28,127.0523129,37.5505064,24
LPG,28,127.0594263,37.5896145,25
LPG,28,127.0737196,37.5600832,26
LPG,28,127.0673296,37.5760174,27
LPG,28,126.9020644,37.4842941,28
LPG,28,126.9063574,37.5736537,29
LPG,28,126.8884901,37.5174966,30
LPG,28,127.0766248,37.5649626,31
LPG,28,126.8266272,37.5390095,32
LPG,28,126.9002813,37.5788412,33
LPG,28,126.9821327,37.4790732,34
LPG,28,126.8015717,37.5752764,35
LPG,28,127.0793084,37.5796075,36
LPG,28,127.0725159,37.6169744,37
LPG,28,127.035691,37.4904973,38
LPG,28,126.8390716,37.5070378,39
LPG,28,127.0981299,37.6139022,40
LPG,28,127.0281019,37.6361063,41
LPG,28,127.0670603,37.6492695,42
LPG,28,126.9953379,37.4732032,43
LPG,28,127.0555723,37.6714154,44
LPG,28,127.1036342,37.5081343,45
