구,전용면적(㎡),년,월,거래금액(만원),면적금액,층,건축년도,도로명
강남구,77.75,2020,6,"149,500","1,923",4,1988,언주로 103
강남구,54.98,2020,2,"144,000","2,619",4,1987,언주로 3
강남구,79.97,2020,6,"162,750","2,035",4,1987,언주로 3
강남구,79.97,2020,6,"160,000","2,001",5,1987,언주로 3
강남구,79.97,2020,6,"150,000","1,876",2,1987,언주로 3
강남구,67.28,2020,6,"165,000","2,452",2,1987,언주로 3
강남구,67.28,2020,6,"165,000","2,452",2,1987,언주로 3
강남구,67.28,2020,6,"165,000","2,452",2,1987,언주로 3
강남구,67.28,2020,6,"120,000","1,784",4,1987,언주로 3
강남구,79.97,2020,7,"169,800","2,123",4,1987,언주로 3
강남구,79.97,2020,8,"178,000","2,226",5,1987,언주로 3
강남구,54.98,2020,12,"146,000","2,656",1,1987,언주로 3
강남구,79.97,2020,12,"155,400","1,943",3,1987,언주로 3
강남구,59.92,2020,12,"193,000","3,221",5,2020,개포로 264
강남구,133.46,2020,1,"220,000","1,648",3,1984,개포로 307
강남구,161,2020,2,"270,000","1,677",15,1984,개포로 307
강남구,161,2020,6,"268,500","1,668",5,1984,개포로 307
강남구,161,2020,6,"270,000","1,677",6,1984,개포로 307
강남구,104.43,2020,7,"195,500","1,872",3,1984,개포로 307
강남구,161,2020,7,"280,000","1,739",1,1984,개포로 307
강남구,104.43,2020,9,"210,000","2,011",14,1984,개포로 307
강남구,133.46,2020,11,"260,000","1,948",6,1984,개포로 307
강남구,104.43,2020,11,"218,000","2,088",14,1984,개포로 307
강남구,133.46,2020,12,"265,000","1,986",4,1984,개포로 307
강남구,104.43,2020,12,"220,000","2,107",3,1984,개포로 307
강남구,134.3,2020,1,"203,000","1,512",17,2004,개포로109길 69
강남구,134.3,2020,2,"206,000","1,534",7,2004,개포로109길 69
강남구,153.8,2020,8,"252,000","1,638",8,2004,개포로109길 69
강남구,153.8,2020,10,"220,000","1,430",16,2004,개포로109길 69
강남구,168.42,2020,11,"240,000","1,425",20,2004,개포로109길 69
강남구,168.42,2020,11,"240,000","1,425",20,2004,개포로109길 69
